,index,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,ordering,title,region,language,types,attributes,isOriginalTitle,Description
10,17,tt0231050,tvSeries,Transformers: Robots in Disguise,Toransufômâ: Kârobotto,0,2000,2000,22,"Action,Adventure,Animation",6.6,577,16,Transformers: Robots in Disguise,US,en,alternative,\N,0,"When new Decepticons appear, Optimus Prime summons Bumblebee and gives him the task of saving Earth. To help him, the veteran Autobot assembles a rogue team of young bots to capture the new enemies. The new Autobot recruits include a rebel ""bad boy,"" an elite guard cadet, a bombastic dinobot and a hyperactive mini-con. The recruits provide a challenge for Bumblebee because, while each is a fully capable hero, they are inexperienced when it comes to working as a team. So Bumblebee has to learn how to balance his role as a leader of the new squad with his job of fighting evil forces as he works to complete the mission."
11,20,tt0244365,tvSeries,Star Trek: Enterprise,Enterprise,0,2001,2005,60,"Action,Adventure,Drama",7.5,56151,4,Star Trek: Enterprise,US,en,\N,\N,0,"Set in the mid-22nd century, over 100 years before James T. Kirk helmed the famous vessel, this installment of the ""Star Trek"" franchise is set on the Enterprise NX-01 -- the first Earth starship capable of warp 5 -- and explores the history of the interplanetary upheaval that eventually leads to the formation of the Federation."
12,21,tt0246592,movie,The Dummy,Dummy,0,2002,\N,91,"Comedy,Drama,Romance",6.6,6790,8,The Dummy,US,en,\N,\N,0,A murderous ventriloquist dummy terrorizes newlyweds.
13,23,tt0253474,movie,The Pianist,The Pianist,0,2002,\N,150,"Biography,Drama,Music",8.5,860569,7,The Pianist,US,en,imdbDisplay,\N,0,"The lives of two Canadian sisters (Gail Travers, Macha Grenon) are changed by their mutual first love for a Japanese pianist (Eiji Okuda)."
14,24,tt0270248,tvMovie,The Wedding,La Boda,0,2000,\N,53,Documentary,8.4,11,3,The Wedding,US,en,\N,\N,0,"Don (Robert De Niro) and Ellie Griffin (Diane Keaton) are long-divorced, but when their adopted son's ultraconservative biological mother unexpectedly decides to fly in for the young man's nuptials, they are forced to play the happy couple to avoid an awkward situation. With their heartily amused friends and adult children looking on, Don and Ellie must confront their past, present and future -- and hopefully avoid killing each other in the process."
15,34,tt0297494,tvSeries,Aqua Teen Hunger Force,Aqua Teen Hunger Force,0,2000,2015,15,"Animation,Comedy",7.7,26073,13,Aqua Teen Hunger Force,US,en,\N,\N,0,"A trio of fast-food items works to solve mysteries in an edgy adult cartoon. The brains of the group is Frylock, a floating box of fries, but Master Shake does a lot of the talking, most of it aimed at making life miserable for Meatwad, a sweet-natured ball of meat. Recurring characters include neighbor Carl, supercilious Mooninites (lunar creatures) Ignigknot and Err, and mad scientists Dr. Weird and Steve."
16,37,tt0306188,movie,Chances Are,Vat Doi Sao Doi,0,2001,\N,90,"Comedy,Romance",8.6,44,7,Chances Are,US,en,\N,\N,0,"A man's love for his pregnant wife, Corinne Jeffries (Cybill Shepherd), is interrupted when a car accident sends him to heaven. He is reincarnated, however, and two decades later he is a writer named Alex Finch (Robert Downey Jr.). But when Alex starts dating Miranda Jeffries (Mary Stuart Masterson) -- his all-grown-up daughter from his previous life -- he remembers his love for Corinne. This spells trouble for his past-life best friend, Philip Train (Ryan O'Neal), who is now pursuing Corinne."
17,42,tt0317705,movie,The Incredibles,The Incredibles,0,2004,\N,115,"Action,Adventure,Animation",8.0,766397,67,The Incredibles,US,en,\N,\N,0,"In this lauded Pixar animated film, married superheroes Mr. Incredible (Craig T. Nelson) and Elastigirl (Holly Hunter) are forced to assume mundane lives as Bob and Helen Parr after all super-powered activities have been banned by the government. While Mr. Incredible loves his wife and kids, he longs to return to a life of adventure, and he gets a chance when summoned to an island to battle an out-of-control robot. Soon, Mr. Incredible is in trouble, and it's up to his family to save him."
18,45,tt0327597,movie,Coraline,Coraline,0,2009,\N,100,"Animation,Drama,Family",7.7,244739,18,Coraline,US,en,\N,\N,0,"While exploring her new home, a girl named Coraline (Dakota Fanning) discovers a secret door, behind which lies an alternate world that closely mirrors her own but, in many ways, is better. She rejoices in her discovery, until Other Mother (Teri Hatcher) and the rest of her parallel family try to keep her there forever. Coraline must use all her resources and bravery to make it back to her own family and life."
19,47,tt0332379,movie,School of Rock,School of Rock,0,2003,\N,109,"Comedy,Music",7.2,317593,39,School of Rock,US,en,\N,\N,0,"Overly enthusiastic guitarist Dewey Finn (Jack Black) gets thrown out of his bar band and finds himself in desperate need of work. Posing as a substitute music teacher at an elite private elementary school, he exposes his students to the hard rock gods he idolizes and emulates -- much to the consternation of the uptight principal (Joan Cusack). As he gets his privileged and precocious charges in touch with their inner rock 'n' roll animals, he imagines redemption at a local Battle of the Bands."
20,52,tt0362209,movie,Lost in New Mexico: The Strange Tale of Susan Hero,Susan Hero,0,2007,\N,85,"Drama,Romance,Sci-Fi",7.1,26,2,Lost in New Mexico: The Strange Tale of Susan Hero,US,en,\N,\N,0,A woman who's desperate to clone her dead child steals cash and travels across the country in search of a maverick animal-cloning expert who says he can help her.
21,55,tt0369339,movie,Collateral,Collateral,0,2004,\N,120,"Action,Crime,Drama",7.5,417391,6,Collateral,US,en,imdbDisplay,\N,0,"A cab driver realizes his current fare is a hit man that has been having him drive around from mark to mark until the last witness to a crime is dead. When the cabbie finally figures out the truth, he must prevent the assassin from wiping out his last witness without becoming the next in the professional killer's line of casualties."
22,58,tt0376127,movie,Anniyan,Anniyan,0,2005,\N,181,"Action,Crime,Drama",8.3,19795,8,The Stranger,US,en,\N,informal English title,0,"Ramanujam, who suffers from multiple personality disorder, works as a lawyer by day and a vigilante at night. He uses tips from the 'Garuda Purana' as his tool to expose various antisocial elements."
23,61,tt0393449,movie,Malfunkshun: The Andrew Wood Story,Malfunkshun: The Andrew Wood Story,0,2005,\N,100,"Documentary,Music",8.1,145,4,Malfunkshun: The Andrew Wood Story,US,en,\N,\N,0,"Experiencing the life of the fallen LoveChild, Andrew Wood from childhood to relationships and more."
24,63,tt0399201,movie,The Island,The Island,0,2005,\N,136,"Action,Sci-Fi,Thriller",6.8,321582,10,The Island,US,en,\N,\N,0,"In 2019 a mercenary (Djimon Hounsou) pursues two clones (Ewan McGregor, Scarlett Johansson) who escaped from a research facility after learning their true fate."
25,68,tt0407887,movie,The Departed,The Departed,0,2006,\N,151,"Crime,Drama,Thriller",8.5,1362209,26,The Departed,US,en,\N,\N,0,"South Boston cop Billy Costigan (Leonardo DiCaprio) goes under cover to infiltrate the organization of gangland chief Frank Costello (Jack Nicholson). As Billy gains the mobster's trust, a career criminal named Colin Sullivan (Matt Damon) infiltrates the police department and reports on its activities to his syndicate bosses. When both organizations learn they have a mole in their midst, Billy and Colin must figure out each other's identities to save their own lives."
26,71,tt0412142,tvSeries,House,House M.D.,0,2004,2012,44,"Drama,Mystery",8.7,482566,23,House,US,en,\N,\N,0,"At fictional Princeton Plainsboro Teaching Hospital in New Jersey, prickly genius Dr. Gregory House tackles health mysteries as would a medical Sherlock Holmes, all the while playing mind games with colleagues that include his best friend, oncologist James Wilson. House, an acerbic infectious disease specialist, solves medical puzzles with the help of a team of young diagnosticians. Flawless instincts and unconventional thinking help earn House great respect, despite his brutal honesty and antisocial tendencies."
27,75,tt0413015,movie,Mrs. Henderson Presents,Mrs. Henderson Presents,0,2005,\N,103,"Comedy,Drama,Music",7.0,16107,19,Mrs. Henderson Presents,US,en,\N,poster title,0,"With some money in her pocket after the death of her husband, Mrs. Laura Henderson (Judi Dench) buys a theater and hires the irascible theater manager Vivian Van Damm (Bob Hoskins) to run the business, despite bad blood between the two. Henderson has a hit on her hands when she decides to add beautiful nude women to the stage shows at her Windmill Theatre. Though they are touched by tragedy, Henderson and her company bravely keep the theater active during the 1940-'41 Blitz of London."
28,87,tt0439547,movie,Two Sons of Francisco,2 Filhos de Francisco: A História de Zezé di Camargo & Luciano,0,2005,\N,132,"Biography,Drama,Music",6.9,5946,5,Two Sons of Francisco,US,en,imdbDisplay,\N,0,"A Brazilian farmer (Ângelo Antônio), who loves country music, pushes his offspring toward careers as musicians."
29,88,tt0443455,movie,Brand Upon the Brain!,Brand Upon the Brain! A Remembrance in 12 Chapters,0,2006,\N,95,"Comedy,Drama,Fantasy",7.3,3637,1,Brand Upon the Brain!,US,en,\N,\N,0,Guy returns to his childhood home on an abandoned Canadian island to paint a lighthouse his parents used as an orphanage.
30,89,tt0443536,movie,Hoodwinked,Hoodwinked!,0,2005,\N,80,"Adventure,Animation,Comedy",6.5,64072,23,Hoodwinked,US,en,\N,\N,0,Bank robber Hank Tagert arrives home and learns an outlaw gang is planning to trick him into a dangerous stagecoach robbery.
31,93,tt0451279,movie,Wonder Woman,Wonder Woman,0,2017,\N,141,"Action,Adventure,Fantasy",7.4,677305,25,Wonder Woman,US,en,\N,\N,0,The U.S. Intelligence Agency wants the Amazonian princess (Cathy Lee Crosby) to recover some vital documents.
32,95,tt0455829,movie,Vettaiyaadu Vilaiyaadu,Vettaiyaadu Vilaiyaadu,0,2006,\N,174,"Action,Crime,Drama",7.9,7995,10,The Smart Hunt,US,en,\N,literal English title,0,"A man is called upon to probe the murders of three members of the same family, one in India, and two in New York."
33,96,tt0455944,movie,The Equalizer,The Equalizer,0,2014,\N,132,"Action,Crime,Thriller",7.2,386260,55,The Equalizer,US,en,\N,\N,0,"Robert McCall (Denzel Washington), a man of mysterious origin who believes he has put the past behind him, dedicates himself to creating a quiet new life. However, when he meets Teri (Chloë Grace Moretz), a teenager who has been manhandled by violent Russian mobsters, he simply cannot walk away. With his set of formidable skills, McCall comes out of self-imposed retirement and emerges as an avenging angel, ready to take down anyone who brutalizes the helpless."
34,102,tt0466460,movie,Khosla Ka Ghosla!,Khosla Ka Ghosla!,0,2006,\N,135,"Comedy,Crime,Drama",8.3,24478,6,Khosla's Nest,US,en,\N,literal English title,0,Members of a dysfunctional family unite when a corrupt man steals the plot of land upon which their retired patriarch hoped to build his dream house.
35,103,tt0468569,movie,The Dark Knight,The Dark Knight,0,2008,\N,152,"Action,Crime,Drama",9.0,2732611,38,The Dark Knight,US,en,\N,\N,0,"With the help of allies Lt. Jim Gordon (Gary Oldman) and DA Harvey Dent (Aaron Eckhart), Batman (Christian Bale) has been able to keep a tight lid on crime in Gotham City. But when a vile young criminal calling himself the Joker (Heath Ledger) suddenly throws the town into chaos, the caped Crusader begins to tread a fine line between heroism and vigilantism."
36,104,tt0469021,movie,Alan Partridge,Alan Partridge: Alpha Papa,0,2013,\N,90,"Action,Comedy,Crime",6.9,32515,12,Alan Partridge,US,en,\N,\N,0,"Radio host Alan Partridge (Steve Coogan) gets a chance to boost his sagging career by serving as a liaison between police and his former co-host (Colm Meaney), who has taken hostages at their radio station."
37,116,tt0488953,movie,Awesome; I Shot That!,Awesome; I Fuckin' Shot That!,0,2006,\N,90,"Documentary,Music",7.5,975,7,Awesome; I Shot That!,US,en,\N,\N,0,"On Oct. 9, 2004, music group the Beastie Boys perform a sold-out show at New York's Madison Square Garden. They distribute 50 cameras to be used during the performance, to members of the audience, thereby gaining many different perspectives on the energy and spectacle of one of their live concerts."
38,117,tt0490215,movie,Silence,Silence,0,2016,\N,161,"Drama,History",7.1,117191,35,Silence,US,en,\N,\N,0,An autistic boy (Ian Geer Flanders) wanders away from his parents and befriends an old hermit (Will Geer) in the woods.
39,122,tt0773292,movie,Inner Circle Line,Nae-boo-soon-hwan-seon,0,2006,\N,95,Drama,7.8,39,1,Inner Circle Line,US,en,\N,\N,0,"With the help of a policeman, Isobel investigates her mother's death, believing foul play was involved."
40,124,tt0783681,movie,Paper Dolls,Bubot Niyar,0,2006,\N,80,Documentary,7.4,188,1,Paper Dolls,US,en,\N,\N,0,"After Israel closes its borders to Palestinian workers, people from other countries emigrate there to find jobs. Among them are several individuals from the Philippines. The men, who consider themselves female, get jobs as caregivers for elderly Orthodox Jewish men. On their nights off they perform in a drag ensemble called ""Paper Dolls."""
41,125,tt0787474,movie,The Boxtrolls,The Boxtrolls,0,2014,\N,96,"Adventure,Animation,Comedy",6.8,59868,10,The Boxtrolls,US,en,\N,\N,0,"Eggs (Isaac Hempstead-Wright), an orphan, lives with the Boxtrolls -- a community of quirky, mischievous creatures who inhabit a cavern beneath the city of Cheesebridge. When villainous Archibald Snatcher (Ben Kingsley) hatches a plan to get rid of the pretty harmless beings, Eggs decides to go above ground, where he meets and befriends feisty Winnifred (Elle Fanning). Together, Eggs and Winnifred devise a daring plan to save the Boxtrolls from extermination."
42,127,tt0790636,movie,Dallas Buyers Club,Dallas Buyers Club,0,2013,\N,117,"Biography,Drama",7.9,502242,3,The Dallas Buyers Club,US,en,working,\N,0,"In mid-1980s Texas, electrician Ron Woodroof (Matthew McConaughey) is stunned to learn that he has AIDS. Though told that he has just 30 days left to live, Woodroof refuses to give in to despair. He seeks out alternative therapies and smuggles unapproved drugs into the U.S. from wherever he can find them. Woodroof joins forces with a fellow AIDS patient (Jared Leto) and begins selling the treatments to the growing number of people who can't wait for the medical establishment to save them."
43,134,tt0813980,tvMovie,24: Redemption,24: Redemption,0,2008,\N,84,"Action,Adventure,Crime",7.4,28712,7,24: Redemption,US,en,\N,\N,0,Jack Bauer (Kiefer Sutherland) tries to prevent an African warlord from recruiting children for his militia.
44,135,tt0816692,movie,Interstellar,Interstellar,0,2014,\N,169,"Adventure,Drama,Sci-Fi",8.7,1927537,33,Interstellar,US,en,\N,\N,0,"In Earth's future, a global crop blight and second Dust Bowl are slowly rendering the planet uninhabitable. Professor Brand (Michael Caine), a brilliant NASA physicist, is working on plans to save mankind by transporting Earth's population to a new home via a wormhole. But first, Brand must send former NASA pilot Cooper (Matthew McConaughey) and a team of researchers through the wormhole and across the galaxy to find out which of three planets could be mankind's new home."
45,151,tt0844708,movie,The Last House on the Left,The Last House on the Left,0,2009,\N,110,"Horror,Thriller",6.5,96861,14,The Last House on the Left,US,en,\N,\N,0,"Mari and her friend look forward to a holiday at the remote Collingwood lakehouse, but instead an escaped convict (Garret Dillahunt) and his crew kidnap them and later leave them for dead. Mari makes her way back home, where her parents, John (Tony Goldwyn) and Emma (Monica Potter), have unwittingly offered shelter to the thugs. When John and Emma find out what happened to their daughter, they decide to make the strangers rue the day they harmed Mari."
46,165,tt0919368,tvEpisode,Doubt,Giwaku,0,2006,\N,23,"Animation,Crime,Drama",8.1,3987,3,Doubt,US,en,\N,\N,0,"Brilliant and beautiful, Sadie Ellis has a good job at a boutique law firm where she works with passionate warrior for justice Cameron Wirth, second-year associate Tiffany Simon, former felon Nick, and her close friend Albert Cobb, who believes he knows everything about her -- but Sadie has a secret that could put everything on the line. Clandestinely involved with her charming client, Billy Brennan, a pediatric surgeon accused of murdering his girlfriend 24 years ago, she must work harder than ever to prove his innocence, even if she's not always certain of it."
47,167,tt0919370,tvEpisode,Encounter,Sesshoku,0,2006,\N,23,"Animation,Crime,Drama",8.5,4136,2,Encounter,US,en,\N,\N,0,
48,170,tt0924022,tvEpisode,Love,Koigokoro,0,2006,\N,23,"Animation,Crime,Drama",8.2,3883,1,Love,US,en,\N,\N,0,"When his cheating girlfriend leaves him, people-pleasing nice-guy Gus (Paul Rust, ""I Love You, Beth Cooper"" and ""Inglorious Basterds"") moves into a trendy apartment complex inhabited by lots of college students. A chance encounter introduces him to wild-child Mickey (Gillian Jacobs, ""Community""), also recently single, and who despises her job in radio. Though wildly different, the two are drawn to each other, and that relationship is the basis for the Judd Apatow-helmed Netflix original series. And in the end, their differences may be what help them figure out just what love is."
49,172,tt0929632,movie,Precious,Precious,0,2009,\N,110,Drama,7.3,113746,35,Precious,US,en,\N,\N,0,"Pregnant by her own father for the second time, 16-year-old Claireece ""Precious"" Jones (Gabourey Sidibe) can neither read nor write and suffers constant abuse at the hands of her vicious mother (Mo'Nique). Precious instinctively sees a chance to turn her life around when she is offered the opportunity to transfer to an alternative school. Under the patient, firm guidance of her new teacher, Ms. Rain (Paula Patton), Precious begins the journey from oppression to self-determination."
50,177,tt0947906,tvEpisode,Wager,Kake,0,2007,\N,23,"Animation,Crime,Drama",8.8,4072,2,Wager,US,en,\N,\N,0,
51,179,tt0948470,movie,The Amazing Spider-Man,The Amazing Spider-Man,0,2012,\N,136,"Action,Adventure,Sci-Fi",6.9,676013,11,Spiderman,US,en,\N,informal title,0,"Abandoned by his parents and raised by an aunt and uncle, teenager Peter Parker (Andrew Garfield), AKA Spider-Man, is trying to sort out who he is and exactly what his feelings are for his first crush, Gwen Stacy (Emma Stone). When Peter finds a mysterious briefcase that was his father's, he pursues a quest to solve his parents' disappearance. His search takes him to Oscorp and the lab of Dr. Curt Connors (Rhys Ifans), setting him on a collision course with Connors' alter ego, the Lizard."
52,181,tt0950513,tvEpisode,Execution,Shikkou,0,2007,\N,23,"Animation,Crime,Drama",8.0,3748,1,Execution,US,en,\N,\N,0,
53,182,tt0954288,tvEpisode,Ally,Nakama,0,2007,\N,23,"Animation,Crime,Drama",7.3,3663,2,Ally,US,en,\N,\N,0,"This show is a 30-minute repackaging of the hit comedy-drama ""Ally McBeal,"" focusing more on personal stories, rather than legal ones."
54,190,tt0990612,tvEpisode,Revival,Fukkatsu,0,2007,\N,24,"Animation,Crime,Drama",9.2,5375,1,Revival,US,en,\N,\N,0,
55,192,tt10055770,movie,Vellai Pookal,Vellaipookal,0,2019,\N,122,"Crime,Drama,Thriller",7.1,1824,7,Vellai Pookal,US,en,\N,\N,0,A retired cop from India solves crimes while on vacation in the United States.
56,201,tt1021404,tvEpisode,Justice,Seigi,0,2007,\N,24,"Animation,Crime,Drama",7.5,3453,1,Justice,US,en,\N,\N,0,"Four disparate lawyers are the ""dream team"" behind the firm of Trott, Nicholson, Tuller & Graves. Ron Trott is the media darling -- he's great at getting his way, but juries hate him. Tom Nicholson is the heart of the firm whose everyman manner makes him Ron's alter ego. Luther Graves is a famous litigator in the African-American community and has the uncanny ability to assess a case from both the prosecution's and the defense's perspectives. Lone female Alden Tuller is an ambitious clinician who approaches each case analytically. Together, they tackle the most controversial and newsworthy cases around."
57,202,tt1022603,movie,500 Days of Summer,(500) Days of Summer,0,2009,\N,95,"Comedy,Drama,Romance",7.7,532925,19,500 Days of Summer,US,en,\N,\N,0,"Tom (Joseph Gordon-Levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer (Zooey Deschanel), suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life."
58,205,tt1028528,movie,Death Proof,Death Proof,0,2007,\N,127,"Action,Thriller",7.0,302112,62,Death Proof,US,en,\N,\N,0,"Stuntman Mike (Kurt Russell) is a professional body double who likes to take unsuspecting women for deadly drives in his free time. He has doctored his car for maximum impact; when Mike purposely causes wrecks, the bodies pile up while he walks away with barely a scratch. The insane Mike may be in over his head, though, when he targets a tough group of female friends, including real-life stuntwoman Zoe Bell (who served as Uma Thurman's double in ""Kill Bill""), who plays herself."
59,209,tt10389180,movie,1946: The Mistranslation That Shifted Culture,1946: The Mistranslation That Shifted Culture,0,2022,\N,92,"Documentary,History",9.2,93,6,1946: The Mistranslation That Shifted Culture,US,en,\N,\N,0,"1946 is a feature documentary that follows the story of tireless researchers who trace the origins of the anti-gay movement among Christians to a grave mistranslation of the Bible in 1946. It chronicles the discovery of never-before-seen archives at Yale University which unveil astonishing new revelations, and casts significant doubt on any biblical basis for LGBTQIA+ prejudice. Featuring Commentary from prominent scholars as well as opposing pastors, including the personal stories of the film's creators, and original music by Grammy winning artist Mary Lambert, 1946 is at once challenging, enlightening, and inspiring."
60,213,tt1043075,tvEpisode,New World,Shin sekai,0,2007,\N,23,"Animation,Crime,Drama",8.5,5523,1,New World,US,en,\N,\N,0,Six celebrities devise strategies to earn virtual currency they can cash in on the final day of their stay on a utopian island.
61,221,tt10612922,movie,One Night in Miami...,One Night in Miami...,0,2020,\N,114,Drama,7.1,33245,20,One Night in Miami...,US,en,\N,\N,0,"On one incredible night in 1964, four icons of sports, music, and activism gathered to celebrate one of the biggest upsets in boxing history. When underdog Cassius Clay, soon to be called Muhammad Ali, (Eli Goree), defeats heavy weight champion Sonny Liston at the Miami Convention Hall, Clay memorialized the event with three of his friends: Malcolm X (Kingsley Ben-Adir), Sam Cooke (Leslie Odom Jr.) and Jim Brown (Aldis Hodge)."
62,222,tt10643926,movie,The Storied Life of A.J. Fikry,The Storied Life of A.J. Fikry,0,2022,\N,105,"Comedy,Drama",6.6,1628,22,The Storied Life of A.J. Fikry,US,en,\N,\N,0,"Based on the New York Times best-selling novel, bookstore owner A.J. Fikry's (Kunal Nayyar) life is not turning out as he expected as he struggles both emotionally and financially. After his wife's tragic death, he feels lost and left behind in the rapidly evolving world of today. As he tries to keep his store afloat, he begins to drink his sorrows away ultimately hitting rock bottom when his most prized possession, a series of Edgar Allen Poe poems, are stolen. But when a mysterious package appears at the bookstore, the unexpected arrival gives Fikry a new lease on life, and love, that are greater than he ever imagined."
63,226,tt10687202,tvSeries,"Go, Dog. Go!","Go, Dog. Go!",0,2021,\N,24,"Animation,Family",7.3,242,39,"Go, Dog. Go!",US,en,\N,\N,0,"Pup Tag chases adventure with her best pal, Scooch, solving problems and helping the citizens of Pawston along the way."
64,227,tt10687506,movie,The Electrical Life of Louis Wain,The Electrical Life of Louis Wain,0,2021,\N,111,"Biography,Drama,History",6.8,17455,37,The Electrical Life of Louis Wain,US,en,imdbDisplay,\N,0,"The extraordinary true story of eccentric British artist Louis Wain (Benedict Cumberbatch), whose playful, sometimes even psychedelic pictures helped to transform the public's perception of cats forever. Moving from the late 1800s through to the 1930s, we follow the incredible adventures of this inspiring, unsung hero, as he seeks to unlock the ""electrical"" mysteries of the world and, in so doing, to better understand his own life and the profound love he shared with his wife Emily Richardson (Claire Foy)."
65,234,tt1077258,movie,Planet Terror,Planet Terror,0,2007,\N,105,"Action,Comedy,Horror",7.1,217451,18,Planet Terror,US,en,\N,\N,0,"An ordinary evening in a small Texas town becomes a grisly nightmare when a horde of flesh-eating zombies goes on the prowl. Cherry (Rose McGowan), a go-go dancer, and Wray (Freddy Rodriguez), her ex-lover, band together with other survivors in a no-holds barred effort to escape the carnage. The odds become a bit more even when Cherry, who lost her leg to a hungry ghoul, gets a machine-gun appendage and lets the bullets fly."
66,238,tt10814036,tvSeries,Agent Elvis,Agent Elvis,0,2023,\N,30,"Action,Animation,Comedy",6.9,2029,6,Agent Elvis,US,en,\N,\N,0,Elvis trades his jumpsuit for a jetpack when he joins a secret spy program to stop villains from destroying the world.
67,244,tt10925770,movie,"Cheer Up, Mr. Lee","Himeul naeyo, Miseuteo Lee",0,2019,\N,111,"Comedy,Drama,Family",6.9,487,3,"Cheer Up, Mr. Lee",US,en,imdbDisplay,\N,0,"Cheol Soo has the perfect appearance, but is a bit slow. One day, after having been sick and in hospital, his daughter, Saet Byeol, suddenly appears in front of him, and together they go on a trip."
